id,carat,depth,table,x,y,z,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0,0.45,62.8,58.0,4.88,4.84,3.05,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,1.23,61.0,56.0,6.96,6.92,4.23,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,0.33,61.8,55.0,4.46,4.47,2.76,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3,0.51,58.0,60.0,5.29,5.26,3.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0.4,62.2,59.0,4.71,4.74,2.94,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,0.32,64.0,55.0,4.31,4.35,2.77,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0.75,62.2,57.0,5.8,5.84,3.62,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,1.99,59.1,61.0,8.08,8.05,4.77,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8,1.33,62.6,58.0,7.07,7.01,4.41,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9,1.0,61.9,57.0,6.39,6.41,3.96,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0.5,63.8,57.0,4.98,5.02,3.19,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11,0.28,58.4,60.0,4.27,4.33,2.51,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,0.34,59.9,58.0,4.58,4.54,2.73,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,1.04,63.5,56.0,6.41,6.37,4.06,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
14,0.52,62.4,55.0,5.17,5.19,3.23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
15,0.72,62.5,56.0,5.73,5.76,3.59,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,0.32,62.7,57.0,4.4,4.37,2.75,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
17,1.0,58.2,60.0,6.61,6.55,3.83,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
18,0.41,61.8,55.0,4.76,4.78,2.95,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19,0.28,61.7,57.0,4.2,4.23,2.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,0.57,61.4,58.0,5.28,5.34,3.26,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
21,0.3,61.0,58.0,4.29,4.36,2.64,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,0.72,61.6,57.0,5.73,5.76,3.54,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23,0.24,62.5,54.0,3.95,3.98,2.48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
24,1.24,61.2,57.0,7.02,6.87,4.25,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
25,0.23,62.9,58.0,3.94,3.95,2.48,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
26,0.91,64.2,55.0,6.13,6.09,3.92,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
27,0.41,62.1,57.0,4.72,4.78,2.95,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28,0.5,62.6,56.0,5.05,5.04,3.16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,0.32,60.8,55.0,4.49,4.42,2.71,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
30,0.34,61.6,56.0,4.5,4.53,2.78,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31,0.85,60.4,56.0,6.26,6.17,3.75,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32,0.33,61.0,61.0,4.46,4.43,2.71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
33,0.9,62.9,58.0,6.01,6.1,3.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,0.32,62.6,54.0,4.41,4.37,2.75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35,0.7,59.6,60.0,5.71,5.8,3.43,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
36,0.73,61.8,54.0,5.89,5.92,3.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1.09,64.4,60.0,6.49,6.42,4.16,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
38,0.51,61.7,54.0,5.15,5.12,3.17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,0.77,61.2,57.0,5.94,5.98,3.65,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40,0.33,61.8,58.0,4.43,4.4,2.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,0.51,62.5,56.0,5.07,5.1,3.18,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
42,1.67,60.7,60.0,7.61,7.68,4.64,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
